ID da Venda,Data da Venda,Produto,Quantidade Vendida,Preço Unitário,Custo Unitário,Desconto Aplicado,Categoria,Região,Data de Entrega,Vendedor,Status de Pagamento,Método de Pagamento
1,2025-01-01,Camiseta Esportiva,10,50,30,5,Esporte,Norte,2025-01-03,João,Pago,Cartão de Crédito
2,2025-01-02,Tênis Corrida,5,300,180,10,Esporte,Sul,2025-01-05,Maria,Pendente,Boleto Bancário
3,2025-01-03,Mochila Viagem,3,150,90,0,Viagem,Sudeste,2025-01-07,Pedro,Pago,Cartão de Crédito
4,2025-01-04,Tênis Corrida,8,300,180,15,Esporte,Norte,2025-01-07,João,Pago,Cartão de Crédito
5,2025-02-01,Camiseta Esportiva,15,50,30,10,Esporte,Nordeste,2025-02-03,Maria,Pendente,Boleto Bancário
6,2025-02-02,Mochila Viagem,7,150,90,5,Viagem,Sul,2025-02-05,Pedro,Pago,Cartão de Crédito
7,2025-02-03,Tênis Corrida,6,300,180,20,Esporte,Sudeste,2025-02-06,João,Pago,Cartão de Crédito
8,2025-02-04,Camiseta Casual,12,40,25,0,Casual,Norte,2025-02-06,Maria,Pago,Cartão de Crédito
9,2025-02-05,Camiseta Esportiva,18,50,30,5,Esporte,Nordeste,2025-02-08,Pedro,Pago,Cartão de Crédito
10,2025-02-06,Tênis Corrida,4,300,180,15,Esporte,Sul,2025-02-09,João,Pago,Cartão de Crédito
11,2025-02-07,Mochila Viagem,9,150,90,5,Viagem,Sudeste,2025-02-10,Maria,Pago,Cartão de Crédito
12,2025-02-08,Camiseta Casual,13,40,25,0,Casual,Norte,2025-02-09,Pedro,Pago,Cartão de Crédito
13,2025-03-01,Camiseta Esportiva,20,50,30,10,Esporte,Norte,2025-03-03,João,Pago,Cartão de Crédito
14,2025-03-02,Tênis Corrida,10,300,180,10,Esporte,Sul,2025-03-05,Maria,Pendente,Boleto Bancário
15,2025-03-03,Mochila Viagem,5,150,90,0,Viagem,Sudeste,2025-03-06,Pedro,Pago,Cartão de Crédito
16,2025-03-04,Tênis Corrida,7,300,180,5,Esporte,Norte,2025-03-07,João,Pago,Cartão de Crédito
17,2025-03-05,Camiseta Casual,15,40,25,0,Casual,Nordeste,2025-03-07,Maria,Pago,Cartão de Crédito
18,2025-03-06,Mochila Viagem,8,150,90,5,Viagem,Sul,2025-03-08,Pedro,Pago,Cartão de Crédito
19,2025-03-07,Tênis Corrida,6,300,180,10,Esporte,Sudeste,2025-03-09,João,Pago,Cartão de Crédito
20,2025-03-08,Camiseta Esportiva,25,50,30,5,Esporte,Norte,2025-03-10,Maria,Pago,Cartão de Crédito
21,2025-04-01,Camiseta Casual,14,40,25,0,Casual,Norte,2025-04-03,Pedro,Pago,Cartão de Crédito
22,2025-04-02,Tênis Corrida,9,300,180,15,Esporte,Sul,2025-04-04,João,Pago,Cartão de Crédito
23,2025-04-03,Mochila Viagem,6,150,90,0,Viagem,Sudeste,2025-04-06,Maria,Pago,Cartão de Crédito
24,2025-04-04,Camiseta Esportiva,30,50,30,10,Esporte,Nordeste,2025-04-07,Pedro,Pago,Cartão de Crédito
25,2025-04-05,Tênis Corrida,11,300,180,5,Esporte,Norte,2025-04-08,João,Pago,Cartão de Crédito
26,2025-04-06,Mochila Viagem,10,150,90,0,Viagem,Sul,2025-04-09,Maria,Pago,Cartão de Crédito
27,2025-04-07,Camiseta Casual,18,40,25,0,Casual,Sudeste,2025-04-09,Pedro,Pago,Cartão de Crédito
28,2025-04-08,Tênis Corrida,12,300,180,5,Esporte,Nordeste,2025-04-10,João,Pago,Cartão de Crédito
29,2025-04-09,Camiseta Esportiva,20,50,30,10,Esporte,Norte,2025-04-11,Maria,Pago,Cartão de Crédito
30,2025-05-01,Tênis Corrida,8,300,180,10,Esporte,Sul,2025-05-03,Pedro,Pago,Cartão de Crédito
31,2025-05-02,Mochila Viagem,9,150,90,0,Viagem,Nordeste,2025-05-04,João,Pago,Cartão de Crédito
32,2025-05-03,Camiseta Casual,16,40,25,0,Casual,Norte,2025-05-06,Maria,Pago,Cartão de Crédito
33,2025-05-04,Tênis Corrida,7,300,180,5,Esporte,Sudeste,2025-05-06,Pedro,Pago,Cartão de Crédito
34,2025-05-05,Camiseta Esportiva,28,50,30,15,Esporte,Norte,2025-05-08,João,Pago,Cartão de Crédito
35,2025-05-06,Mochila Viagem,6,150,90,0,Viagem,Sul,2025-05-08,Maria,Pago,Cartão de Crédito
36,2025-05-07,Camiseta Casual,14,40,25,0,Casual,Nordeste,2025-05-09,Pedro,Pago,Cartão de Crédito
37,2025-05-08,Tênis Corrida,10,300,180,10,Esporte,Norte,2025-05-10,João,Pago,Cartão de Crédito
38,2025-06-01,Camiseta Esportiva,22,50,30,10,Esporte,Sul,2025-06-03,Maria,Pago,Cartão de Crédito
39,2025-06-02,Tênis Corrida,8,300,180,5,Esporte,Sudeste,2025-06-04,Pedro,Pago,Cartão de Crédito
40,2025-06-03,Mochila Viagem,7,150,90,0,Viagem,Norte,2025-06-06,João,Pago,Cartão de Crédito
41,2025-06-04,Tênis Corrida,9,300,180,10,Esporte,Nordeste,2025-06-06,Maria,Pago,Cartão de Crédito
42,2025-06-05,Camiseta Casual,15,40,25,0,Casual,Sul,2025-06-07,Pedro,Pago,Cartão de Crédito
43,2025-06-06,Mochila Viagem,10,150,90,5,Viagem,Nordeste,2025-06-08,João,Pago,Cartão de Crédito
44,2025-06-07,Tênis Corrida,11,300,180,10,Esporte,Norte,2025-06-09,Maria,Pago,Cartão de Crédito
45,2025-06-08,Camiseta Esportiva,30,50,30,15,Esporte,Sudeste,2025-06-10,Pedro,Pago,Cartão de Crédito
46,2025-07-01,Tênis Corrida,5,300,180,10,Esporte,Sul,2025-07-03,João,Pago,Cartão de Crédito
47,2025-07-02,Mochila Viagem,8,150,90,0,Viagem,Norte,2025-07-04,Maria,Pago,Cartão de Crédito
48,2025-07-03,Camiseta Casual,13,40,25,0,Casual,Sudeste,2025-07-05,Pedro,Pago,Cartão de Crédito
49,2025-07-04,Tênis Corrida,10,300,180,5,Esporte,Nordeste,2025-07-06,João,Pago,Cartão de Crédito
50,2025-07-05,Camiseta Esportiva,25,50,30,10,Esporte,Norte,2025-07-08,Maria,Pago,Cartão de Crédito
51,2025-07-06,Mochila Viagem,7,150,90,0,Viagem,Sul,2025-07-09,Pedro,Pago,Cartão de Crédito
52,2025-07-07,Tênis Corrida,9,300,180,5,Esporte,Norte,2025-07-08,João,Pago,Cartão de Crédito
53,2025-07-08,Camiseta Casual,20,40,25,0,Casual,Sudeste,2025-07-10,Maria,Pago,Cartão de Crédito
